plot_width,plot_length,plot_area_sqft,aspect_ratio,floors,bhk,family_size,parking_spaces,facing_direction,vastu_priority,layout_archetype,circulation_ratio
32.3,41.2,1330.8,1.276,2,3,1,1,East,True,WRAP_AROUND_OPEN_PLAN,0.137
73.2,64.8,4743.4,0.885,2,5,4,2,East,False,L_SHAPED_COURTYARD,0.172
53.2,140.0,7448.0,2.632,2,5,6,2,South,True,CENTRAL_SPINE_SPLIT,0.161
35.0,63.0,2205.0,1.8,2,3,6,2,North,True,CENTRAL_SPINE_SPLIT,0.158
37.8,43.1,1629.2,1.14,1,3,2,1,East,True,L_SHAPED_COURTYARD,0.204
28.3,61.2,1732.0,2.163,2,3,5,1,East,True,CENTRAL_SPINE_SPLIT,0.16
37.7,53.9,2032.0,1.43,2,2,1,1,West,True,WRAP_AROUND_OPEN_PLAN,0.146
36.3,32.4,1176.1,0.893,2,2,2,1,South,True,COMPACT_LINEAR,0.11
22.8,44.6,1016.9,1.956,2,3,5,1,East,True,CENTRAL_SPINE_SPLIT,0.161
21.6,22.0,475.2,1.019,2,1,3,0,North,False,COMPACT_LINEAR,0.118
40.6,37.4,1518.4,0.921,1,3,6,1,North,True,L_SHAPED_COURTYARD,0.183
37.5,63.6,2385.0,1.696,2,3,8,2,East,True,WRAP_AROUND_OPEN_PLAN,0.133
39.6,55.8,2209.7,1.409,2,4,6,2,West,True,WRAP_AROUND_OPEN_PLAN,0.12
38.8,66.9,2595.7,1.724,1,5,8,1,West,True,WRAP_AROUND_OPEN_PLAN,0.142
64.8,140.0,9072.0,2.16,2,5,7,3,East,True,CENTRAL_SPINE_SPLIT,0.166
48.2,105.3,5075.5,2.185,1,5,8,2,East,True,CENTRAL_SPINE_SPLIT,0.16
49.3,91.3,4501.1,1.852,2,4,9,2,North,False,CENTRAL_SPINE_SPLIT,0.153
41.3,109.8,4534.7,2.659,2,6,10,2,North,False,CENTRAL_SPINE_SPLIT,0.158
60.8,140.0,8512.0,2.303,1,6,10,3,North,True,CENTRAL_SPINE_SPLIT,0.145
43.8,96.3,4217.9,2.199,2,6,6,2,South,True,CENTRAL_SPINE_SPLIT,0.178
21.8,25.7,560.3,1.179,2,1,4,0,East,True,COMPACT_LINEAR,0.099
46.2,104.3,4818.7,2.258,3,5,8,2,North,True,CENTRAL_SPINE_SPLIT,0.172
46.2,105.6,4878.7,2.286,2,4,5,2,South,True,CENTRAL_SPINE_SPLIT,0.134
41.3,95.9,3960.7,2.322,2,4,8,2,East,False,CENTRAL_SPINE_SPLIT,0.166
31.0,49.3,1528.3,1.59,2,3,5,1,East,True,WRAP_AROUND_OPEN_PLAN,0.135
70.4,140.0,9856.0,1.989,2,4,5,1,North,True,CENTRAL_SPINE_SPLIT,0.176
69.9,67.0,4683.3,0.959,1,4,7,2,North,True,L_SHAPED_COURTYARD,0.175
39.6,89.6,3548.2,2.263,2,4,5,2,West,False,CENTRAL_SPINE_SPLIT,0.163
45.4,119.3,5416.2,2.628,1,5,7,2,North,True,CENTRAL_SPINE_SPLIT,0.164
62.5,80.2,5012.5,1.283,2,4,7,2,East,False,L_SHAPED_COURTYARD,0.18
28.5,37.9,1080.1,1.33,1,2,5,1,North,True,COMPACT_LINEAR,0.106
39.5,97.0,3831.5,2.456,2,5,8,2,South,True,CENTRAL_SPINE_SPLIT,0.182
23.9,33.5,800.6,1.402,2,1,3,1,South,False,COMPACT_LINEAR,0.106
65.9,140.0,9226.0,2.124,2,5,7,2,East,True,CENTRAL_SPINE_SPLIT,0.153
68.6,128.2,8794.5,1.869,3,5,8,3,West,False,CENTRAL_SPINE_SPLIT,0.161
41.2,56.9,2344.3,1.381,2,2,4,1,West,True,WRAP_AROUND_OPEN_PLAN,0.146
69.9,140.0,9786.0,2.003,3,4,6,3,North,False,CENTRAL_SPINE_SPLIT,0.159
67.1,77.9,5227.1,1.161,2,6,9,3,South,True,VILLA_PERIMETER,0.188
47.2,106.6,5031.5,2.258,2,5,8,2,North,False,CENTRAL_SPINE_SPLIT,0.146
56.9,138.1,7857.9,2.427,3,5,7,2,South,True,CENTRAL_SPINE_SPLIT,0.16
26.0,32.6,847.6,1.254,2,2,4,1,South,True,COMPACT_LINEAR,0.094
41.0,95.1,3899.1,2.32,2,5,8,1,East,True,CENTRAL_SPINE_SPLIT,0.157
59.1,117.1,6920.6,1.981,2,6,7,2,North,False,CENTRAL_SPINE_SPLIT,0.159
72.4,74.2,5372.1,1.025,2,5,6,2,East,True,L_SHAPED_COURTYARD,0.164
22.3,22.0,490.6,0.987,3,1,3,0,West,False,COMPACT_LINEAR,0.103
47.7,42.1,2008.2,0.883,2,4,8,1,East,True,L_SHAPED_COURTYARD,0.188
69.5,140.0,9730.0,2.014,1,5,7,2,West,True,CENTRAL_SPINE_SPLIT,0.161
35.8,34.1,1220.8,0.953,1,2,3,1,East,True,WRAP_AROUND_OPEN_PLAN,0.128
36.2,88.4,3200.1,2.442,2,3,4,1,East,True,CENTRAL_SPINE_SPLIT,0.156
21.7,29.6,642.3,1.364,2,1,4,0,West,True,COMPACT_LINEAR,0.092
19.4,49.0,950.6,2.526,3,1,3,1,East,False,CENTRAL_SPINE_SPLIT,0.161
61.7,95.3,5880.0,1.545,2,5,7,2,East,True,VILLA_PERIMETER,0.217
38.2,49.8,1902.4,1.304,1,3,5,1,South,True,WRAP_AROUND_OPEN_PLAN,0.143
72.1,140.0,10094.0,1.942,2,4,9,1,West,True,CENTRAL_SPINE_SPLIT,0.152
55.0,108.7,5978.5,1.976,2,5,7,1,East,True,CENTRAL_SPINE_SPLIT,0.153
47.5,92.8,4408.0,1.954,2,5,5,3,West,True,CENTRAL_SPINE_SPLIT,0.198
60.6,46.9,2842.1,0.774,3,5,5,1,South,True,VILLA_PERIMETER,0.189
20.0,27.8,556.0,1.39,2,2,2,0,North,True,L_SHAPED_COURTYARD,0.1
22.6,26.3,594.4,1.164,1,1,2,0,South,True,COMPACT_LINEAR,0.124
37.8,80.3,3035.3,2.124,2,4,6,2,West,False,CENTRAL_SPINE_SPLIT,0.164
65.7,140.0,9198.0,2.131,2,5,7,3,West,True,CENTRAL_SPINE_SPLIT,0.166
25.3,35.5,898.1,1.403,1,2,4,1,South,True,COMPACT_LINEAR,0.115
53.2,140.0,7448.0,2.632,2,5,8,2,North,False,CENTRAL_SPINE_SPLIT,0.186
72.9,103.4,7537.9,1.418,3,5,7,2,East,True,VILLA_PERIMETER,0.202
37.7,75.5,2846.4,2.003,2,3,4,2,North,True,CENTRAL_SPINE_SPLIT,0.165
45.9,106.4,4883.8,2.318,2,5,6,1,East,True,CENTRAL_SPINE_SPLIT,0.134
22.7,48.3,1096.4,2.128,1,2,4,1,South,True,CENTRAL_SPINE_SPLIT,0.159
33.6,92.9,3121.4,2.765,3,4,5,1,East,True,CENTRAL_SPINE_SPLIT,0.152
45.0,123.0,5535.0,2.733,3,4,7,3,East,True,CENTRAL_SPINE_SPLIT,0.169
19.9,52.4,1042.8,2.633,2,2,2,1,North,True,CENTRAL_SPINE_SPLIT,0.159
29.4,50.9,1496.5,1.731,2,2,5,1,North,True,L_SHAPED_COURTYARD,0.132
56.8,86.9,4935.9,1.53,2,6,10,3,West,True,VILLA_PERIMETER,0.209
26.3,24.1,633.8,0.916,1,1,1,0,North,False,COMPACT_LINEAR,0.109
22.1,40.3,890.6,1.824,1,3,4,1,North,False,CENTRAL_SPINE_SPLIT,0.173
57.5,139.4,8015.5,2.424,2,4,6,2,East,True,CENTRAL_SPINE_SPLIT,0.171
72.0,140.0,10080.0,1.944,2,5,10,2,East,False,CENTRAL_SPINE_SPLIT,0.158
20.3,22.0,446.6,1.084,2,1,4,0,South,True,COMPACT_LINEAR,0.123
44.8,101.4,4542.7,2.263,2,6,9,2,North,True,CENTRAL_SPINE_SPLIT,0.136
41.8,47.1,1968.8,1.127,1,4,6,1,East,True,L_SHAPED_COURTYARD,0.186
61.8,108.8,6723.8,1.761,2,5,7,2,East,True,CENTRAL_SPINE_SPLIT,0.161
55.3,140.0,7742.0,2.532,2,4,5,3,North,False,CENTRAL_SPINE_SPLIT,0.133
52.3,106.1,5549.0,2.029,2,4,5,2,North,True,CENTRAL_SPINE_SPLIT,0.158
51.0,106.7,5441.7,2.092,2,4,5,3,North,True,CENTRAL_SPINE_SPLIT,0.14
40.6,48.6,1973.2,1.197,2,3,3,1,South,True,WRAP_AROUND_OPEN_PLAN,0.132
43.6,84.3,3675.5,1.933,2,5,6,2,South,True,CENTRAL_SPINE_SPLIT,0.142
58.2,95.3,5546.5,1.637,2,6,8,3,North,True,CENTRAL_SPINE_SPLIT,0.201
25.0,41.2,1030.0,1.648,1,3,4,1,North,False,WRAP_AROUND_OPEN_PLAN,0.14
18.3,49.4,904.0,2.699,3,2,5,1,South,True,CENTRAL_SPINE_SPLIT,0.125
19.7,26.5,522.0,1.345,2,1,3,0,South,False,COMPACT_LINEAR,0.102
57.5,140.0,8050.0,2.435,2,6,10,3,East,True,CENTRAL_SPINE_SPLIT,0.159
57.3,121.5,6961.9,2.12,2,4,8,1,East,False,CENTRAL_SPINE_SPLIT,0.146
67.4,140.0,9436.0,2.077,1,5,7,2,East,False,CENTRAL_SPINE_SPLIT,0.156
69.4,140.0,9716.0,2.017,3,4,4,2,North,True,CENTRAL_SPINE_SPLIT,0.149
50.1,75.1,3762.5,1.499,2,4,4,1,East,True,VILLA_PERIMETER,0.221
61.3,107.3,6577.5,1.75,3,5,8,1,South,True,CENTRAL_SPINE_SPLIT,0.146
60.6,133.5,8090.1,2.203,3,5,9,1,West,True,CENTRAL_SPINE_SPLIT,0.158
29.2,49.8,1454.2,1.705,1,3,5,1,East,False,WRAP_AROUND_OPEN_PLAN,0.168
51.1,45.4,2319.9,0.888,1,3,4,3,East,True,L_SHAPED_COURTYARD,0.181
63.2,68.8,4348.2,1.089,2,6,9,1,North,True,L_SHAPED_COURTYARD,0.153
51.8,122.6,6350.7,2.367,1,5,8,2,East,True,CENTRAL_SPINE_SPLIT,0.157
59.7,140.0,8358.0,2.345,3,5,7,2,North,True,CENTRAL_SPINE_SPLIT,0.165
45.0,82.1,3694.5,1.824,1,3,4,2,North,True,CENTRAL_SPINE_SPLIT,0.152
74.3,73.3,5446.2,0.987,2,5,10,2,West,True,VILLA_PERIMETER,0.193
59.3,113.5,6730.5,1.914,1,4,6,1,South,True,CENTRAL_SPINE_SPLIT,0.148
21.9,52.1,1141.0,2.379,2,2,4,1,South,True,CENTRAL_SPINE_SPLIT,0.17
56.2,140.0,7868.0,2.491,2,5,7,1,East,False,CENTRAL_SPINE_SPLIT,0.181
57.3,64.3,3684.4,1.122,1,4,8,2,East,False,L_SHAPED_COURTYARD,0.176
31.4,48.3,1516.6,1.538,3,3,5,1,East,True,WRAP_AROUND_OPEN_PLAN,0.149
23.1,52.8,1219.7,2.286,2,1,3,1,North,True,CENTRAL_SPINE_SPLIT,0.171
38.5,34.0,1309.0,0.883,2,4,5,1,South,True,WRAP_AROUND_OPEN_PLAN,0.121
70.4,122.8,8645.1,1.744,3,6,9,2,West,False,VILLA_PERIMETER,0.199
63.0,84.4,5317.2,1.34,2,4,7,2,West,True,VILLA_PERIMETER,0.189
25.6,64.3,1646.1,2.512,2,4,8,1,North,True,CENTRAL_SPINE_SPLIT,0.167
26.3,38.7,1017.8,1.471,1,1,3,1,South,True,COMPACT_LINEAR,0.111
43.1,39.7,1711.1,0.921,1,3,7,1,North,True,L_SHAPED_COURTYARD,0.195
44.2,36.3,1604.5,0.821,1,4,6,1,North,True,L_SHAPED_COURTYARD,0.175
57.5,47.8,2748.5,0.831,3,4,7,2,East,True,L_SHAPED_COURTYARD,0.194
25.5,65.3,1665.1,2.561,1,3,3,1,East,True,CENTRAL_SPINE_SPLIT,0.138
18.6,29.3,545.0,1.575,1,1,3,0,North,True,COMPACT_LINEAR,0.1
18.7,22.6,422.6,1.209,3,2,4,0,North,True,COMPACT_LINEAR,0.117
66.1,59.9,3959.4,0.906,1,5,9,2,South,True,WRAP_AROUND_OPEN_PLAN,0.13
62.7,140.0,8778.0,2.233,2,6,10,2,North,False,COMPACT_LINEAR,0.147
62.5,140.0,8750.0,2.24,2,5,6,3,South,False,CENTRAL_SPINE_SPLIT,0.157
74.3,121.2,9005.2,1.631,1,4,7,3,North,True,WRAP_AROUND_OPEN_PLAN,0.155
40.1,67.0,2686.7,1.671,3,5,6,2,East,True,VILLA_PERIMETER,0.179
22.7,40.4,917.1,1.78,2,3,4,1,North,False,CENTRAL_SPINE_SPLIT,0.149
69.1,95.1,6571.4,1.376,2,4,6,3,South,True,VILLA_PERIMETER,0.188
20.5,22.0,451.0,1.073,1,1,3,0,South,True,COMPACT_LINEAR,0.09
70.9,140.0,9926.0,1.975,1,5,8,1,South,True,CENTRAL_SPINE_SPLIT,0.156
73.8,140.0,10332.0,1.897,1,5,7,2,North,True,CENTRAL_SPINE_SPLIT,0.156
24.2,51.8,1253.6,2.14,3,1,1,1,North,True,CENTRAL_SPINE_SPLIT,0.16
60.4,119.9,7242.0,1.985,1,4,6,3,South,True,CENTRAL_SPINE_SPLIT,0.15
64.3,140.0,9002.0,2.177,2,6,9,2,North,True,CENTRAL_SPINE_SPLIT,0.158
53.1,113.9,6048.1,2.145,2,4,8,3,East,True,CENTRAL_SPINE_SPLIT,0.161
61.2,130.0,7956.0,2.124,3,5,8,1,South,True,CENTRAL_SPINE_SPLIT,0.12
30.4,30.1,915.0,0.99,1,2,3,1,South,True,COMPACT_LINEAR,0.105
47.1,104.5,4921.9,2.219,2,4,6,2,East,True,WRAP_AROUND_OPEN_PLAN,0.161
46.4,40.0,1856.0,0.862,1,2,4,1,East,True,L_SHAPED_COURTYARD,0.191
26.4,36.7,968.9,1.39,1,2,4,1,East,False,COMPACT_LINEAR,0.094
54.6,86.5,4722.9,1.584,2,5,7,3,South,True,VILLA_PERIMETER,0.188
28.5,41.6,1185.6,1.46,1,2,4,1,North,False,COMPACT_LINEAR,0.09
42.5,107.6,4573.0,2.532,1,6,9,2,North,True,CENTRAL_SPINE_SPLIT,0.177
46.3,74.9,3467.9,1.618,2,4,7,1,East,True,VILLA_PERIMETER,0.187
21.9,22.0,481.8,1.005,2,1,3,0,North,True,COMPACT_LINEAR,0.107
43.6,101.6,4429.8,2.33,2,4,3,2,West,True,CENTRAL_SPINE_SPLIT,0.171
72.9,136.8,9972.7,1.877,1,6,7,2,West,True,CENTRAL_SPINE_SPLIT,0.154
29.3,55.3,1620.3,1.887,3,3,3,1,North,True,CENTRAL_SPINE_SPLIT,0.174
32.3,80.3,2593.7,2.486,2,4,6,2,South,True,CENTRAL_SPINE_SPLIT,0.162
45.6,47.8,2179.7,1.048,3,4,6,1,South,True,WRAP_AROUND_OPEN_PLAN,0.164
21.5,38.2,821.3,1.777,2,2,3,1,North,True,CENTRAL_SPINE_SPLIT,0.15
47.6,53.8,2560.9,1.13,3,5,7,2,West,False,CENTRAL_SPINE_SPLIT,0.206
23.4,33.3,779.2,1.423,2,2,3,1,South,True,COMPACT_LINEAR,0.124
43.1,47.9,2064.5,1.111,1,3,6,1,North,True,L_SHAPED_COURTYARD,0.172
29.2,75.4,2201.7,2.582,1,3,3,2,South,False,CENTRAL_SPINE_SPLIT,0.163
46.9,91.7,4300.7,1.955,2,4,7,2,East,False,CENTRAL_SPINE_SPLIT,0.167
24.7,55.7,1375.8,2.255,3,3,4,1,East,True,CENTRAL_SPINE_SPLIT,0.16
73.8,140.0,10332.0,1.897,2,4,6,2,West,True,CENTRAL_SPINE_SPLIT,0.167
70.3,65.6,4611.7,0.933,3,5,8,2,North,False,L_SHAPED_COURTYARD,0.189
47.9,58.1,2783.0,1.213,1,3,4,3,East,True,L_SHAPED_COURTYARD,0.2
42.8,81.8,3501.0,1.911,3,4,6,1,East,True,CENTRAL_SPINE_SPLIT,0.168
18.2,38.8,706.2,2.132,2,2,3,1,West,True,CENTRAL_SPINE_SPLIT,0.153
21.9,50.4,1103.8,2.301,2,2,3,1,East,True,CENTRAL_SPINE_SPLIT,0.164
55.1,139.7,7697.5,2.535,1,4,4,1,South,True,CENTRAL_SPINE_SPLIT,0.143
63.7,108.7,6924.2,1.706,2,4,7,3,East,True,VILLA_PERIMETER,0.192
74.0,140.0,10360.0,1.892,2,5,10,2,North,True,CENTRAL_SPINE_SPLIT,0.166
33.0,26.3,867.9,0.797,2,2,4,1,East,True,COMPACT_LINEAR,0.099
68.0,94.8,6446.4,1.394,3,4,7,3,North,True,VILLA_PERIMETER,0.227
63.0,120.0,7560.0,1.905,2,5,7,2,South,True,CENTRAL_SPINE_SPLIT,0.142
21.7,58.7,1273.8,2.705,2,1,1,1,North,True,CENTRAL_SPINE_SPLIT,0.159
72.0,117.7,8474.4,1.635,2,5,7,1,East,False,VILLA_PERIMETER,0.205
33.5,56.7,1899.5,1.693,2,4,7,1,North,True,WRAP_AROUND_OPEN_PLAN,0.137
69.7,83.8,5840.9,1.202,2,5,10,2,South,True,VILLA_PERIMETER,0.194
48.6,121.2,5890.3,2.494,3,4,6,2,South,True,CENTRAL_SPINE_SPLIT,0.169
20.5,26.3,539.1,1.283,2,1,2,0,West,True,WRAP_AROUND_OPEN_PLAN,0.126
20.6,33.9,698.3,1.646,1,2,5,0,West,True,COMPACT_LINEAR,0.101
56.5,74.8,4226.2,1.324,3,5,8,1,East,False,COMPACT_LINEAR,0.185
57.1,53.7,3066.3,0.94,2,4,5,2,East,True,L_SHAPED_COURTYARD,0.176
38.2,102.3,3907.9,2.678,2,5,9,1,East,False,CENTRAL_SPINE_SPLIT,0.139
67.8,140.0,9492.0,2.065,3,4,6,1,North,True,CENTRAL_SPINE_SPLIT,0.151
45.7,87.4,3994.2,1.912,1,4,4,2,East,False,CENTRAL_SPINE_SPLIT,0.169
42.5,89.8,3816.5,2.113,2,4,6,2,East,False,CENTRAL_SPINE_SPLIT,0.177
42.6,58.3,2483.6,1.369,2,4,8,2,South,True,WRAP_AROUND_OPEN_PLAN,0.149
26.1,67.1,1751.3,2.571,1,3,5,1,East,True,CENTRAL_SPINE_SPLIT,0.158
41.3,55.9,2308.7,1.354,2,3,3,3,South,True,WRAP_AROUND_OPEN_PLAN,0.133
45.7,34.6,1581.2,0.757,3,3,4,1,North,True,WRAP_AROUND_OPEN_PLAN,0.139
19.3,44.2,853.1,2.29,2,2,3,1,West,True,CENTRAL_SPINE_SPLIT,0.163
74.1,96.7,7165.5,1.305,2,6,7,2,North,True,L_SHAPED_COURTYARD,0.166
61.4,140.0,8596.0,2.28,2,5,7,1,North,True,CENTRAL_SPINE_SPLIT,0.153
49.8,71.2,3545.8,1.43,1,4,9,2,South,False,WRAP_AROUND_OPEN_PLAN,0.129
53.5,101.4,5424.9,1.895,2,5,7,2,South,True,CENTRAL_SPINE_SPLIT,0.159
69.8,140.0,9772.0,2.006,3,5,8,1,East,True,CENTRAL_SPINE_SPLIT,0.155
71.8,72.7,5219.9,1.013,3,5,9,2,South,True,VILLA_PERIMETER,0.199
61.4,92.8,5697.9,1.511,2,5,9,3,South,False,VILLA_PERIMETER,0.203
50.7,137.3,6961.1,2.708,1,4,6,3,West,True,CENTRAL_SPINE_SPLIT,0.174
43.6,77.3,3370.3,1.773,3,4,6,2,East,True,CENTRAL_SPINE_SPLIT,0.155
35.1,51.0,1790.1,1.453,2,4,7,1,North,True,WRAP_AROUND_OPEN_PLAN,0.146
65.5,140.0,9170.0,2.137,2,4,7,2,East,True,CENTRAL_SPINE_SPLIT,0.174
45.8,39.5,1809.1,0.862,1,3,5,1,North,False,L_SHAPED_COURTYARD,0.173
22.1,59.8,1321.6,2.706,1,3,5,1,East,True,L_SHAPED_COURTYARD,0.15
58.5,122.9,7189.7,2.101,3,4,4,1,North,True,CENTRAL_SPINE_SPLIT,0.151
66.0,122.3,8071.8,1.853,1,4,6,2,North,True,CENTRAL_SPINE_SPLIT,0.143
43.9,106.5,4675.3,2.426,2,5,4,1,North,True,CENTRAL_SPINE_SPLIT,0.182
24.8,65.1,1614.5,2.625,1,3,6,1,North,True,CENTRAL_SPINE_SPLIT,0.17
28.8,67.5,1944.0,2.344,2,3,5,1,South,True,CENTRAL_SPINE_SPLIT,0.171
22.7,60.3,1368.8,2.656,1,4,7,1,East,False,CENTRAL_SPINE_SPLIT,0.162
42.1,62.8,2643.9,1.492,2,5,8,3,East,True,VILLA_PERIMETER,0.201
67.9,73.6,4997.4,1.084,1,4,7,1,South,True,WRAP_AROUND_OPEN_PLAN,0.142
24.0,41.9,1005.6,1.746,2,2,2,1,East,False,CENTRAL_SPINE_SPLIT,0.109
28.6,53.2,1521.5,1.86,2,3,6,1,East,True,CENTRAL_SPINE_SPLIT,0.156
61.0,47.3,2885.3,0.775,3,4,7,3,North,True,VILLA_PERIMETER,0.193
51.0,44.8,2284.8,0.878,2,2,4,2,North,True,L_SHAPED_COURTYARD,0.187
69.9,140.0,9786.0,2.003,3,5,8,1,East,False,L_SHAPED_COURTYARD,0.157
56.6,76.7,4341.2,1.355,2,5,8,1,North,False,VILLA_PERIMETER,0.2
24.9,31.3,779.4,1.257,2,1,2,1,North,True,WRAP_AROUND_OPEN_PLAN,0.129
55.8,103.3,5764.1,1.851,2,6,10,2,North,True,CENTRAL_SPINE_SPLIT,0.162
69.3,140.0,9702.0,2.02,2,6,8,2,East,False,CENTRAL_SPINE_SPLIT,0.159
48.3,99.8,4820.3,2.066,2,5,7,2,East,False,CENTRAL_SPINE_SPLIT,0.168
36.0,46.1,1659.6,1.281,2,4,8,1,West,True,WRAP_AROUND_OPEN_PLAN,0.146
48.7,40.3,1962.6,0.828,2,3,5,1,North,True,L_SHAPED_COURTYARD,0.189
35.2,80.9,2847.7,2.298,3,4,6,3,East,True,CENTRAL_SPINE_SPLIT,0.165
44.1,82.8,3651.5,1.878,2,5,8,1,West,True,CENTRAL_SPINE_SPLIT,0.168
55.6,51.6,2869.0,0.928,2,4,7,2,North,True,L_SHAPED_COURTYARD,0.179
28.0,32.2,901.6,1.15,1,1,3,1,South,True,COMPACT_LINEAR,0.119
72.3,140.0,10122.0,1.936,3,4,5,1,South,False,CENTRAL_SPINE_SPLIT,0.173
61.5,140.0,8610.0,2.276,3,5,7,2,East,True,CENTRAL_SPINE_SPLIT,0.175
28.1,50.0,1405.0,1.779,2,4,6,1,West,True,CENTRAL_SPINE_SPLIT,0.143
