built_up_area_sqft,floors,bhk,city_tier,soil_type,seismic_zone,climate_zone,finishing_tier,has_basement,has_lift,cost_per_sqft_inr,total_cost_inr
3788.1,2,2,1,Clay,II,Hot-Dry,Premium,False,False,2941.8,11143833.0
2583.1,2,2,2,Clay,II,Warm-Humid,Basic,False,False,1397.8,3610657.0
650.4,1,2,1,Rocky,III,Moderate,Standard,False,False,1976.5,1285516.0
2374.8,1,3,2,Sandy Loam,IV,Composite,Basic,False,False,1427.6,3390264.0
1142.1,1,3,2,Clay,IV,Composite,Basic,False,False,1619.3,1849403.0
2282.0,1,5,2,Sandy Loam,IV,Warm-Humid,Premium,False,False,2947.8,6726880.0
2720.5,2,2,2,Rocky,III,Cold,Standard,False,False,1649.1,4486377.0
1744.4,1,2,1,Sandy Loam,III,Warm-Humid,Standard,False,False,2010.0,3506244.0
2474.0,2,3,1,Clay,III,Composite,Standard,False,False,2116.1,5235231.0
1638.8,1,3,2,Sandy Loam,II,Warm-Humid,Standard,False,False,1752.3,2871669.0
3108.1,3,3,1,Rocky,II,Warm-Humid,Standard,False,False,1808.4,5620688.0
4796.1,2,3,3,Rocky,II,Composite,Standard,False,False,1494.8,7169210.0
2370.9,1,2,2,Black Cotton,II,Moderate,Basic,False,False,1463.3,3469338.0
4254.8,2,3,1,Clay,IV,Composite,Standard,False,False,2272.7,9669884.0
1303.9,2,2,2,Clay,III,Warm-Humid,Premium,False,False,2862.5,3732414.0
1371.6,1,4,3,Clay,III,Composite,Basic,False,False,1450.2,1989094.0
6696.9,3,1,3,Sandy Loam,IV,Warm-Humid,Standard,True,False,1966.9,13172133.0
1664.6,2,4,2,Rocky,III,Hot-Dry,Standard,False,False,1858.7,3093992.0
4430.7,2,3,1,Black Cotton,V,Hot-Dry,Standard,False,False,2454.7,10876039.0
476.5,1,2,1,Clay,III,Hot-Dry,Standard,False,False,2374.5,1131449.0
4710.8,2,1,2,Black Cotton,IV,Hot-Dry,Premium,False,False,3059.6,14413164.0
2726.0,2,3,1,Sandy Loam,IV,Hot-Dry,Standard,False,False,2099.4,5722964.0
3717.6,2,3,1,Clay,III,Hot-Dry,Basic,False,False,1472.9,5475653.0
2180.7,1,3,1,Sandy Loam,IV,Composite,Standard,False,False,2193.4,4783147.0
2565.7,2,1,1,Clay,III,Composite,Basic,False,False,1555.4,3990690.0
4086.8,2,3,2,Sandy Loam,II,Moderate,Basic,False,False,1158.2,4733332.0
2224.9,2,3,2,Sandy Loam,III,Composite,Standard,True,False,1948.0,4334105.0
1430.2,2,2,3,Sandy Loam,III,Composite,Premium,False,False,2578.1,3687199.0
4145.3,2,5,1,Sandy Loam,III,Warm-Humid,Basic,False,False,1347.7,5586621.0
4115.5,3,2,2,Black Cotton,IV,Moderate,Basic,False,False,1754.2,7219410.0
1911.7,1,5,1,Clay,II,Moderate,Standard,False,False,2061.3,3940587.0
1181.1,1,2,1,Clay,IV,Warm-Humid,Standard,False,False,2403.3,2838538.0
3200.8,3,1,3,Clay,IV,Moderate,Premium,False,True,2721.4,9160657.0
2308.0,1,3,2,Black Cotton,IV,Composite,Premium,False,False,3504.0,8087232.0
2365.5,1,2,3,Clay,III,Moderate,Standard,False,False,1811.4,4284867.0
1218.9,2,3,2,Rocky,III,Cold,Premium,False,False,2555.3,3114655.0
3370.6,2,4,2,Clay,II,Hot-Dry,Premium,False,False,2650.8,8934786.0
943.2,1,2,1,Clay,IV,Hot-Dry,Basic,False,False,1740.9,1642017.0
4435.2,2,2,2,Clay,IV,Composite,Standard,False,False,2000.9,8874392.0
4662.2,2,3,1,Clay,IV,Cold,Premium,False,False,3152.6,14698052.0
1151.6,1,4,2,Clay,IV,Hot-Dry,Standard,False,False,2010.1,2314831.0
1298.7,1,5,1,Sandy Loam,II,Moderate,Basic,False,False,1504.1,1953375.0
1109.8,1,2,1,Sandy Loam,IV,Composite,Premium,False,False,3365.9,3735476.0
1367.9,2,3,2,Sandy Loam,V,Hot-Dry,Premium,False,False,2954.8,4041871.0
5850.6,3,5,1,Sandy Loam,IV,Moderate,Premium,False,True,3181.5,19063684.0
2317.1,1,3,1,Rocky,V,Composite,Premium,False,False,3023.5,7005752.0
1529.3,1,2,2,Sandy Loam,IV,Warm-Humid,Standard,False,False,2012.0,3076952.0
1936.5,1,1,1,Black Cotton,II,Warm-Humid,Standard,False,False,2266.5,4389077.0
1504.2,2,2,2,Clay,II,Warm-Humid,Standard,True,False,2146.8,3229217.0
1946.1,2,2,1,Black Cotton,III,Composite,Standard,False,False,2280.4,4437886.0
1957.5,1,3,1,Clay,II,Warm-Humid,Premium,False,False,3343.5,6544901.0
1584.0,1,2,3,Sandy Loam,III,Composite,Basic,False,False,1255.3,1988395.0
4087.2,2,1,2,Clay,II,Composite,Standard,False,False,1748.0,7144426.0
1059.4,1,2,3,Clay,IV,Warm-Humid,Basic,False,False,1398.5,1481571.0
1313.0,1,2,1,Clay,II,Moderate,Standard,False,False,2182.5,2865622.0
2452.6,3,2,1,Sandy Loam,IV,Moderate,Basic,False,False,1573.6,3859411.0
4252.8,2,2,1,Sandy Loam,III,Composite,Premium,False,False,2938.5,12496853.0
1431.1,1,4,2,Sandy Loam,II,Composite,Standard,False,False,1937.7,2773042.0
1075.3,2,5,1,Sandy Loam,III,Moderate,Premium,False,False,2970.3,3193964.0
920.1,2,2,1,Sandy Loam,III,Moderate,Premium,False,False,2855.9,2627714.0
746.1,1,5,1,Rocky,IV,Moderate,Standard,False,False,2187.9,1632392.0
4187.5,2,4,3,Black Cotton,IV,Hot-Dry,Basic,False,False,1524.3,6383006.0
1881.0,1,3,1,Clay,IV,Composite,Standard,False,False,2250.7,4233567.0
4671.9,2,3,1,Clay,III,Cold,Standard,False,False,1933.5,9033119.0
1581.3,1,3,1,Sandy Loam,III,Composite,Luxury,False,False,4735.7,7488562.0
631.6,1,3,1,Black Cotton,II,Composite,Standard,False,False,2416.5,1526261.0
4572.4,2,2,1,Rocky,IV,Moderate,Standard,False,False,1829.9,8367035.0
3677.9,3,2,2,Sandy Loam,IV,Composite,Basic,False,False,1467.7,5398054.0
742.4,1,2,2,Clay,III,Composite,Standard,False,False,2105.3,1562975.0
3472.1,2,4,1,Sandy Loam,II,Warm-Humid,Standard,False,False,1839.5,6386928.0
3117.7,2,3,2,Sandy Loam,III,Hot-Dry,Premium,False,False,2493.7,7774608.0
2796.2,2,3,2,Sandy Loam,II,Warm-Humid,Luxury,False,False,3922.4,10967815.0
6971.7,3,3,1,Sandy Loam,II,Hot-Dry,Standard,True,True,2142.8,15388959.0
733.0,1,4,2,Sandy Loam,IV,Cold,Standard,False,False,2072.4,1519069.0
2375.8,1,2,1,Sandy Loam,III,Warm-Humid,Basic,False,False,1418.9,3371023.0
810.1,1,2,1,Black Cotton,III,Hot-Dry,Premium,False,False,3545.8,2872453.0
4334.5,2,4,2,Black Cotton,II,Composite,Standard,False,False,2018.3,8748321.0
6225.0,3,3,2,Clay,V,Composite,Standard,False,False,2286.3,14232218.0
4014.5,2,2,3,Rocky,III,Moderate,Premium,False,False,2303.2,9246196.0
5782.2,3,2,2,Clay,V,Warm-Humid,Premium,False,False,3426.0,19809817.0
1352.4,2,3,1,Clay,V,Warm-Humid,Premium,False,False,3621.6,4897852.0
1611.7,1,3,3,Sandy Loam,V,Composite,Premium,False,False,2789.2,4495354.0
4247.0,3,1,2,Black Cotton,IV,Composite,Standard,False,False,2371.1,10070062.0
1648.9,1,2,1,Black Cotton,II,Moderate,Premium,False,False,3596.6,5930434.0
2991.4,2,4,1,Sandy Loam,III,Cold,Standard,True,False,2257.1,6751889.0
4087.8,2,2,1,Sandy Loam,II,Moderate,Standard,False,False,1759.6,7192893.0
1270.2,2,3,1,Clay,II,Composite,Luxury,False,False,4729.1,6006903.0
466.0,1,3,3,Sandy Loam,V,Warm-Humid,Basic,False,False,1498.3,698208.0
1958.3,1,3,1,Sandy Loam,III,Composite,Standard,False,False,2054.1,4022544.0
1072.6,1,3,2,Sandy Loam,II,Composite,Standard,False,False,1861.9,1997074.0
513.9,1,4,1,Black Cotton,IV,Composite,Basic,False,False,1916.5,984889.0
4235.9,2,1,1,Sandy Loam,III,Moderate,Basic,False,False,1419.9,6014554.0
943.3,2,2,1,Clay,III,Moderate,Premium,False,False,3381.4,3189675.0
2154.7,1,2,2,Clay,III,Warm-Humid,Standard,False,False,2032.6,4379643.0
1675.7,1,2,1,Black Cotton,V,Warm-Humid,Luxury,False,False,6167.9,10335550.0
550.1,1,2,1,Clay,III,Warm-Humid,Premium,False,False,3409.1,1875346.0
4134.7,2,1,2,Sandy Loam,IV,Composite,Standard,False,False,1930.7,7982865.0
6883.9,3,3,1,Sandy Loam,III,Hot-Dry,Standard,False,False,2001.5,13778126.0
5871.9,3,3,1,Sandy Loam,V,Warm-Humid,Luxury,False,False,4725.8,27749425.0
3722.7,3,3,1,Clay,III,Hot-Dry,Standard,False,False,2041.8,7601009.0
1081.7,2,1,2,Sandy Loam,IV,Composite,Luxury,False,False,4310.7,4662884.0
2238.7,1,2,1,Sandy Loam,II,Hot-Dry,Standard,False,False,1939.7,4342406.0
2957.0,2,2,1,Sandy Loam,IV,Composite,Standard,True,False,2180.6,6448034.0
2253.5,2,2,1,Clay,III,Warm-Humid,Standard,False,False,2045.3,4609084.0
1536.1,1,2,2,Sandy Loam,IV,Moderate,Premium,False,False,2775.5,4263446.0
4234.2,3,1,2,Sandy Loam,II,Composite,Standard,False,False,1656.8,7015223.0
1600.0,1,2,2,Rocky,II,Hot-Dry,Standard,False,False,1668.0,2668800.0
581.0,1,1,1,Sandy Loam,II,Warm-Humid,Standard,False,False,1933.1,1123131.0
1912.5,2,2,1,Sandy Loam,III,Warm-Humid,Premium,False,False,2925.4,5594828.0
5280.0,3,2,1,Sandy Loam,IV,Hot-Dry,Premium,False,False,3186.4,16824192.0
1792.0,1,4,1,Sandy Loam,IV,Composite,Standard,False,False,2145.3,3844378.0
893.1,1,1,1,Rocky,IV,Hot-Dry,Basic,False,False,1480.1,1321877.0
4315.0,2,2,1,Sandy Loam,IV,Warm-Humid,Basic,False,False,1465.4,6323201.0
3861.7,2,3,1,Clay,II,Composite,Standard,False,False,1991.0,7688645.0
3553.8,3,4,2,Sandy Loam,V,Composite,Basic,False,False,1522.6,5411016.0
528.1,1,1,1,Sandy Loam,III,Hot-Dry,Standard,False,False,2086.2,1101722.0
1216.2,1,2,3,Sandy Loam,III,Hot-Dry,Standard,False,False,1681.0,2044432.0
774.7,1,4,3,Clay,II,Warm-Humid,Premium,False,False,2792.7,2163505.0
5882.5,3,2,2,Black Cotton,III,Warm-Humid,Standard,False,False,2267.5,13338569.0
3531.6,2,1,2,Black Cotton,IV,Moderate,Standard,False,False,2182.1,7706304.0
1218.8,2,2,2,Rocky,IV,Hot-Dry,Standard,False,False,1897.5,2312673.0
4155.6,2,3,2,Sandy Loam,III,Composite,Premium,False,False,2504.9,10409362.0
6070.4,3,4,3,Sandy Loam,II,Composite,Standard,False,False,1724.6,10469012.0
1881.6,1,1,2,Sandy Loam,IV,Composite,Premium,False,False,2802.1,5272431.0
1026.4,2,4,2,Sandy Loam,III,Composite,Premium,False,False,2693.9,2765019.0
2223.6,1,4,2,Black Cotton,IV,Moderate,Premium,False,False,3690.9,8207085.0
1321.4,1,2,1,Sandy Loam,II,Composite,Premium,False,False,2828.6,3737712.0
3121.3,2,3,1,Clay,III,Moderate,Premium,False,False,2926.7,9135109.0
3208.0,2,3,1,Sandy Loam,II,Hot-Dry,Standard,True,False,2115.9,6787807.0
1561.5,1,3,1,Rocky,II,Composite,Premium,False,False,2899.5,4527569.0
2374.6,1,2,2,Rocky,IV,Cold,Basic,False,False,1365.6,3242754.0
1408.8,1,1,1,Clay,IV,Cold,Standard,False,False,2384.4,3359143.0
1013.2,2,3,2,Sandy Loam,II,Hot-Dry,Luxury,False,False,3992.9,4045606.0
1674.4,2,2,1,Sandy Loam,II,Warm-Humid,Basic,False,False,1392.9,2332272.0
1228.4,2,3,1,Sandy Loam,V,Composite,Standard,False,False,2098.6,2577920.0
2343.3,1,2,2,Sandy Loam,II,Composite,Premium,False,False,2676.6,6272077.0
1551.4,1,3,1,Black Cotton,V,Composite,Premium,False,False,3733.0,5791376.0
3134.9,2,5,2,Sandy Loam,II,Hot-Dry,Standard,False,False,1692.6,5306132.0
1853.2,1,3,2,Black Cotton,IV,Composite,Basic,False,False,1782.0,3302402.0
657.5,1,3,2,Clay,III,Hot-Dry,Premium,False,False,2939.3,1932590.0
7183.1,3,3,2,Sandy Loam,V,Composite,Standard,False,False,1851.6,13300228.0
1275.2,1,3,3,Sandy Loam,III,Moderate,Basic,False,False,1209.0,1541717.0
3539.4,3,4,2,Rocky,II,Moderate,Standard,False,False,1608.4,5692771.0
1676.5,1,2,1,Rocky,IV,Composite,Standard,False,False,1989.6,3335564.0
1754.1,1,2,3,Black Cotton,III,Warm-Humid,Standard,False,False,2078.5,3645897.0
4010.8,2,3,1,Rocky,III,Composite,Standard,False,False,1761.6,7065425.0
973.5,2,3,3,Clay,III,Warm-Humid,Standard,False,False,1848.1,1799125.0
997.5,1,2,1,Clay,II,Warm-Humid,Premium,False,False,3310.6,3302324.0
2313.1,1,2,1,Sandy Loam,II,Warm-Humid,Basic,False,False,1491.6,3450220.0
3987.6,2,1,2,Rocky,II,Warm-Humid,Standard,False,False,1603.4,6393718.0
3721.4,2,2,2,Sandy Loam,III,Composite,Premium,False,False,2666.9,9924602.0
2535.8,2,5,2,Black Cotton,II,Warm-Humid,Standard,False,False,2070.6,5250627.0
1107.1,1,1,2,Sandy Loam,III,Cold,Standard,False,False,2007.6,2222614.0
2086.8,1,2,3,Black Cotton,III,Composite,Standard,False,False,2037.0,4250812.0
1696.8,2,5,2,Sandy Loam,II,Moderate,Luxury,False,False,3941.3,6687598.0
1884.4,2,3,1,Black Cotton,II,Hot-Dry,Standard,False,False,2156.6,4063897.0
3293.8,2,3,2,Sandy Loam,III,Composite,Standard,False,False,1720.6,5667312.0
4327.3,2,3,3,Clay,II,Composite,Luxury,False,False,3624.6,15684732.0
2328.4,2,3,1,Sandy Loam,IV,Composite,Luxury,True,False,5110.2,11898590.0
6385.5,3,2,1,Rocky,IV,Hot-Dry,Standard,False,False,2062.3,13168817.0
4533.1,2,2,2,Black Cotton,III,Hot-Dry,Basic,True,False,1773.0,8037186.0
3760.4,2,4,2,Clay,II,Warm-Humid,Premium,False,False,2672.7,10050421.0
6746.1,3,3,1,Rocky,II,Warm-Humid,Luxury,False,False,4205.1,28368025.0
2013.0,2,1,1,Sandy Loam,II,Composite,Standard,False,False,1880.9,3786252.0
556.3,1,1,1,Black Cotton,IV,Cold,Standard,False,False,2924.4,1626844.0
1137.5,1,3,1,Clay,II,Warm-Humid,Standard,False,False,2184.4,2484755.0
3439.3,2,2,1,Sandy Loam,III,Cold,Premium,False,False,2688.7,9247246.0
2523.7,2,1,2,Rocky,II,Composite,Standard,False,False,1664.9,4201708.0
3352.6,2,4,1,Sandy Loam,IV,Composite,Standard,False,False,1945.1,6521142.0
1054.5,2,2,1,Clay,IV,Composite,Standard,False,False,2158.8,2276455.0
1577.4,1,2,3,Clay,III,Moderate,Luxury,False,False,4382.2,6912482.0
1101.9,1,3,1,Sandy Loam,II,Composite,Basic,False,False,1517.5,1672133.0
2972.9,2,2,1,Sandy Loam,III,Moderate,Premium,False,False,2760.2,8205799.0
5814.3,3,3,2,Black Cotton,III,Warm-Humid,Premium,False,True,3339.8,19868599.0
835.3,1,4,1,Clay,IV,Moderate,Basic,False,False,1741.6,1454758.0
1803.9,1,1,1,Rocky,IV,Moderate,Standard,False,False,2155.8,3888848.0
2366.7,1,2,2,Clay,II,Composite,Luxury,False,False,4501.5,10653700.0
3867.4,2,2,2,Rocky,II,Warm-Humid,Standard,False,False,1568.7,6066790.0
2764.1,2,2,2,Black Cotton,V,Composite,Premium,False,False,3607.4,9971214.0
2374.6,3,3,1,Clay,II,Warm-Humid,Standard,True,True,2547.0,6498106.0
1329.9,1,3,2,Sandy Loam,IV,Warm-Humid,Premium,False,False,2848.3,3787954.0
1112.0,2,2,2,Black Cotton,IV,Composite,Standard,False,False,2314.1,2573279.0
3172.4,2,1,1,Sandy Loam,III,Warm-Humid,Standard,True,False,2117.7,6718191.0
812.7,1,3,2,Sandy Loam,III,Moderate,Standard,False,False,2080.9,1691147.0
3270.0,3,2,2,Sandy Loam,IV,Cold,Premium,False,False,2895.9,9469593.0
6010.7,3,5,1,Clay,IV,Composite,Standard,False,False,2334.7,14033181.0
2235.6,1,3,2,Clay,V,Warm-Humid,Luxury,False,False,4723.6,10560080.0
2399.1,1,5,1,Sandy Loam,II,Hot-Dry,Basic,False,False,1447.0,3471498.0
1222.0,1,3,2,Sandy Loam,II,Composite,Premium,False,False,2809.4,3433087.0
3987.3,2,3,2,Clay,IV,Hot-Dry,Standard,False,False,2011.2,8019258.0
2086.4,2,3,2,Sandy Loam,IV,Hot-Dry,Standard,False,False,1934.7,4036558.0
717.8,1,2,1,Sandy Loam,II,Composite,Standard,False,False,2010.0,1442778.0
4438.6,2,4,1,Sandy Loam,III,Composite,Standard,False,False,1892.6,8400494.0
884.4,1,2,1,Clay,III,Moderate,Basic,False,False,1528.6,1351894.0
4882.1,3,4,3,Clay,III,Composite,Standard,False,False,1843.9,9002104.0
1874.5,1,3,2,Sandy Loam,IV,Composite,Standard,False,False,2064.1,3869155.0
3931.6,2,3,2,Sandy Loam,IV,Composite,Luxury,False,False,4176.6,16420721.0
3026.9,2,4,3,Sandy Loam,IV,Warm-Humid,Standard,False,False,1737.8,5260147.0
1696.9,2,2,3,Clay,II,Moderate,Premium,False,False,2532.9,4298078.0
1938.6,2,2,2,Rocky,III,Composite,Basic,False,False,1211.6,2348808.0
1274.1,1,2,1,Sandy Loam,II,Warm-Humid,Standard,False,False,2042.8,2602731.0
5946.8,3,2,1,Clay,III,Warm-Humid,Basic,False,False,1626.2,9670686.0
2031.9,1,4,2,Sandy Loam,III,Composite,Basic,False,False,1312.8,2667478.0
2916.9,3,1,2,Sandy Loam,III,Warm-Humid,Standard,False,False,1886.6,5503024.0
4748.1,2,3,2,Sandy Loam,IV,Warm-Humid,Standard,False,False,1806.6,8577917.0
3370.7,2,2,1,Rocky,III,Warm-Humid,Premium,False,False,2629.4,8862919.0
1907.2,1,2,1,Rocky,III,Warm-Humid,Premium,False,False,2935.4,5598395.0
1005.8,1,2,1,Clay,II,Composite,Premium,False,False,3139.0,3157206.0
1192.6,1,2,2,Sandy Loam,III,Warm-Humid,Basic,False,False,1425.2,1699694.0
1040.1,2,3,2,Clay,III,Composite,Premium,False,False,3034.1,3155767.0
3288.9,2,3,2,Black Cotton,II,Warm-Humid,Standard,False,False,1886.9,6205825.0
4531.3,2,2,1,Sandy Loam,II,Hot-Dry,Standard,False,False,1836.1,8319920.0
2040.9,1,2,1,Sandy Loam,III,Composite,Standard,False,False,1947.5,3974653.0
1778.2,1,1,2,Sandy Loam,III,Warm-Humid,Standard,False,False,1832.2,3258018.0
3392.2,3,2,1,Black Cotton,II,Warm-Humid,Basic,False,False,1678.0,5692112.0
1289.6,2,2,2,Sandy Loam,V,Warm-Humid,Basic,False,False,1392.4,1795639.0
1005.7,1,1,3,Black Cotton,III,Moderate,Premium,False,False,3319.2,3338119.0
2245.9,3,3,2,Sandy Loam,IV,Moderate,Standard,False,False,1964.2,4411397.0
2635.6,2,2,1,Rocky,II,Cold,Premium,False,False,2578.8,6796685.0
1891.2,1,4,3,Black Cotton,IV,Warm-Humid,Standard,False,False,2215.0,4189008.0
3887.6,2,2,3,Sandy Loam,II,Warm-Humid,Basic,False,False,1106.2,4300463.0
1044.8,1,3,2,Black Cotton,III,Warm-Humid,Standard,False,False,2236.5,2336695.0
1154.9,1,4,1,Sandy Loam,II,Composite,Premium,False,False,3062.6,3536997.0
1263.4,2,2,1,Sandy Loam,V,Composite,Standard,True,False,2557.6,3231272.0
2219.4,2,2,2,Sandy Loam,II,Composite,Premium,True,False,2855.3,6337053.0
1823.2,1,4,2,Sandy Loam,III,Composite,Standard,False,False,1931.1,3520782.0
2784.3,2,2,3,Sandy Loam,V,Composite,Standard,False,False,1798.8,5008399.0
3058.9,2,3,1,Sandy Loam,IV,Composite,Premium,False,False,3078.6,9417130.0
4346.2,2,2,3,Sandy Loam,IV,Composite,Basic,True,False,1367.1,5941690.0
1836.6,2,1,1,Black Cotton,III,Composite,Basic,False,False,1657.5,3044164.0
1895.5,1,2,1,Rocky,V,Warm-Humid,Basic,False,False,1466.0,2778803.0
2049.6,1,4,2,Black Cotton,III,Moderate,Premium,False,False,3460.5,7092641.0
1107.4,1,2,1,Clay,III,Hot-Dry,Standard,False,False,2336.2,2587108.0
799.4,1,3,1,Black Cotton,III,Moderate,Standard,False,False,2433.0,1944940.0
4655.1,2,4,1,Black Cotton,IV,Moderate,Luxury,False,False,5378.3,25036524.0
2157.9,1,3,1,Sandy Loam,II,Composite,Standard,False,False,1929.1,4162805.0
1102.8,1,3,3,Sandy Loam,IV,Hot-Dry,Standard,False,False,1884.0,2077675.0
1298.1,2,4,2,Clay,IV,Moderate,Standard,False,False,2109.9,2738861.0
4942.0,3,2,2,Rocky,IV,Composite,Standard,False,False,1910.6,9442185.0
1110.8,1,2,1,Clay,III,Composite,Basic,False,False,1695.5,1883361.0
3806.4,3,3,2,Sandy Loam,III,Composite,Standard,False,False,1717.3,6536731.0
4407.0,2,4,1,Sandy Loam,II,Hot-Dry,Standard,False,False,1799.1,7928634.0
4377.8,3,3,1,Sandy Loam,III,Composite,Premium,False,False,3038.3,13301070.0
687.8,1,5,1,Sandy Loam,II,Moderate,Luxury,False,False,4512.3,3103560.0
1864.5,2,1,1,Black Cotton,III,Composite,Basic,False,False,1593.0,2970148.0
4352.4,3,1,2,Black Cotton,IV,Composite,Premium,False,False,3351.8,14588374.0
3450.9,2,1,3,Sandy Loam,IV,Cold,Standard,True,False,1882.0,6494594.0
3101.3,2,1,3,Clay,IV,Moderate,Standard,False,False,1807.0,5604049.0
1217.4,1,1,1,Black Cotton,II,Composite,Standard,False,False,2326.0,2831672.0
3892.5,2,3,1,Black Cotton,II,Composite,Standard,False,False,2094.4,8152452.0
2937.2,2,3,3,Sandy Loam,IV,Warm-Humid,Standard,True,False,1930.0,5668796.0
855.8,1,1,2,Clay,III,Warm-Humid,Standard,False,False,1930.9,1652464.0
1644.6,1,4,3,Black Cotton,III,Warm-Humid,Standard,False,False,2090.9,3438694.0
3146.0,2,4,1,Sandy Loam,III,Hot-Dry,Basic,False,False,1342.6,4223820.0
6658.3,3,3,1,Clay,III,Composite,Basic,False,True,1590.1,11037363.0
2377.0,2,3,1,Rocky,III,Warm-Humid,Standard,False,False,1825.7,4339689.0
3752.1,2,3,1,Sandy Loam,III,Composite,Premium,False,False,2819.3,10578296.0
1428.6,1,4,1,Rocky,IV,Warm-Humid,Standard,False,False,2225.1,3178778.0
3486.9,3,3,2,Sandy Loam,III,Hot-Dry,Standard,False,False,1750.2,6102772.0
4402.7,2,3,2,Sandy Loam,IV,Hot-Dry,Premium,True,False,3148.6,13862341.0
2605.8,2,2,2,Sandy Loam,III,Composite,Premium,False,False,2558.2,6666158.0
1554.6,2,1,1,Sandy Loam,IV,Hot-Dry,Standard,False,False,2117.9,3292487.0
744.3,1,1,2,Clay,III,Warm-Humid,Basic,False,False,1575.0,1172272.0
2025.6,2,2,2,Black Cotton,III,Composite,Basic,False,False,1637.2,3316312.0
1480.2,1,3,1,Rocky,IV,Warm-Humid,Standard,False,False,2135.6,3161115.0
1313.1,1,2,1,Clay,IV,Moderate,Premium,False,False,3558.1,4672141.0
1768.2,1,3,3,Sandy Loam,III,Composite,Premium,False,False,2524.8,4464351.0
1467.3,2,2,1,Clay,IV,Warm-Humid,Luxury,False,False,4781.1,7015308.0
1038.3,1,3,2,Clay,II,Warm-Humid,Standard,False,False,1847.0,1917740.0
1667.1,1,3,2,Rocky,II,Composite,Standard,False,False,1725.7,2876914.0
1471.9,3,2,2,Rocky,V,Moderate,Premium,False,False,2966.9,4366980.0
2186.1,2,2,3,Rocky,II,Warm-Humid,Premium,False,False,2163.9,4730502.0
4267.6,2,2,1,Sandy Loam,V,Warm-Humid,Basic,False,False,1477.2,6304099.0
4765.0,2,4,3,Sandy Loam,III,Warm-Humid,Premium,False,False,2504.1,11932036.0
6115.4,3,2,1,Sandy Loam,IV,Moderate,Premium,True,True,3400.9,21247864.0
1312.6,1,2,1,Sandy Loam,II,Composite,Premium,False,False,3046.4,3998705.0
3803.4,2,2,1,Sandy Loam,II,Hot-Dry,Premium,True,False,3059.6,11636883.0
1042.7,1,3,1,Sandy Loam,IV,Composite,Basic,False,False,1585.7,1653409.0
3768.1,2,3,1,Rocky,IV,Composite,Standard,False,False,1917.3,7224578.0
4569.9,2,3,1,Clay,II,Hot-Dry,Premium,False,False,2790.4,12751849.0
4479.8,2,4,2,Rocky,IV,Composite,Premium,False,False,2605.6,11672567.0
2220.8,1,3,1,Sandy Loam,III,Composite,Premium,False,False,3116.0,6920013.0
1461.1,1,2,2,Rocky,III,Composite,Premium,False,False,2780.8,4063027.0
2306.8,1,3,1,Black Cotton,II,Composite,Standard,False,False,2378.6,5486954.0
4226.2,3,4,1,Sandy Loam,IV,Composite,Premium,False,False,3179.8,13438471.0
1905.3,1,3,1,Sandy Loam,II,Composite,Premium,False,False,3117.2,5939201.0
5500.3,3,2,3,Sandy Loam,II,Composite,Standard,False,False,1696.0,9328509.0
2308.8,1,4,1,Clay,III,Warm-Humid,Premium,False,False,3427.5,7913412.0
3854.9,2,3,2,Sandy Loam,III,Warm-Humid,Luxury,False,False,3880.0,14957012.0
